full_name,current_employer,current_title,linkedin_url
Anthony Serhan,Pendal Group,Distribution Director,https://www.linkedin.com/in/anthony-serhan-cfa-b6956510/
Lauren Prendiville,First Sentier Group,Global Head of Distribution and Marketing,https://www.linkedin.com/in/lauren-prendiville-1b070522/
Camelia Seric,Merricks Capital,"Head of Distribution Wealth Management Australia and New Zealand",https://www.linkedin.com/in/camelia-seric-0a202059/
Luke Cheetham,PM Capital,Director Distribution,https://www.linkedin.com/in/lukektcheetham/
Anthony Cochran,SG Hiscock & Company,Head of Distribution,https://www.linkedin.com/in/anthonyjcochran/
